,Name,Year_of_Release,Publisher,Country,City,Developer,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
12,Pokemon Gold/Pokemon Silver,1999.0,Nintendo,Japan,Kyoto,,GB,Role-Playing,9.0,6.18,7.2,0.71,23.1,,,,,
13,Wii Fit,2007.0,Nintendo,Japan,Kyoto,Nintendo,Wii,Sports,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,E
14,Kinect Adventures!,2010.0,Microsoft Game Studios,nan,nan,Good Science Studio,X360,Misc,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,E
15,Wii Fit Plus,2009.0,Nintendo,Japan,Kyoto,Nintendo,Wii,Sports,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,E
16,Grand Theft Auto V,2013.0,Take-Two Interactive,nan,nan,Rockstar North,PS3,Action,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,M
17,Grand Theft Auto: San Andreas,2004.0,Take-Two Interactive,nan,nan,Rockstar North,PS2,Action,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,M
18,Super Mario World,1990.0,Nintendo,Japan,Kyoto,,SNES,Platform,12.78,3.75,3.54,0.55,20.61,,,,,
19,Brain Age: Train Your Brain in Minutes a Day,2005.0,Nintendo,Japan,Kyoto,Nintendo,DS,Misc,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,E
20,Pokemon Diamond/Pokemon Pearl,2006.0,Nintendo,Japan,Kyoto,,DS,Role-Playing,6.38,4.46,6.04,1.36,18.25,,,,,
21,Super Mario Land,1989.0,Nintendo,Japan,Kyoto,,GB,Platform,10.83,2.71,4.18,0.42,18.14,,,,,
22,Super Mario Bros. 3,1988.0,Nintendo,Japan,Kyoto,,NES,Platform,9.54,3.44,3.84,0.46,17.28,,,,,
23,Grand Theft Auto V,2013.0,Take-Two Interactive,nan,nan,Rockstar North,X360,Action,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,M
24,Grand Theft Auto: Vice City,2002.0,Take-Two Interactive,nan,nan,Rockstar North,PS2,Action,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,M
25,Pokemon Ruby/Pokemon Sapphire,2002.0,Nintendo,Japan,Kyoto,,GBA,Role-Playing,6.06,3.9,5.38,0.5,15.85,,,,,
26,Brain Age 2: More Training in Minutes a Day,2005.0,Nintendo,Japan,Kyoto,Nintendo,DS,Puzzle,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,E
27,Pokemon Black/Pokemon White,2010.0,Nintendo,Japan,Kyoto,,DS,Role-Playing,5.51,3.17,5.65,0.8,15.14,,,,,
28,Gran Turismo 3: A-Spec,2001.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",Polyphony Digital,PS2,Racing,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,E
29,Call of Duty: Modern Warfare 3,2011.0,Activision,United States,Santa Monica,"Infinity Ward, Sledgehammer Games",X360,Shooter,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,M
30,Pokémon Yellow: Special Pikachu Edition,1998.0,Nintendo,Japan,Kyoto,,GB,Role-Playing,5.89,5.04,3.12,0.59,14.64,,,,,
31,Call of Duty: Black Ops 3,2015.0,Activision,United States,Santa Monica,,PS4,Shooter,6.03,5.86,0.36,2.38,14.63,,,,,
32,Call of Duty: Black Ops,2010.0,Activision,United States,Santa Monica,Treyarch,X360,Shooter,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,M
33,Pokemon X/Pokemon Y,2013.0,Nintendo,Japan,Kyoto,,3DS,Role-Playing,5.28,4.19,4.35,0.78,14.6,,,,,
34,Call of Duty: Black Ops II,2012.0,Activision,United States,Santa Monica,Treyarch,PS3,Shooter,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,M
35,Call of Duty: Black Ops II,2012.0,Activision,United States,Santa Monica,Treyarch,X360,Shooter,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,M
36,Call of Duty: Modern Warfare 2,2009.0,Activision,United States,Santa Monica,Infinity Ward,X360,Shooter,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,M
37,Call of Duty: Modern Warfare 3,2011.0,Activision,United States,Santa Monica,"Infinity Ward, Sledgehammer Games",PS3,Shooter,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,M
38,Grand Theft Auto III,2001.0,Take-Two Interactive,nan,nan,DMA Design,PS2,Action,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,M
39,Super Smash Bros. Brawl,2008.0,Nintendo,Japan,Kyoto,Game Arts,Wii,Fighting,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,T
40,Mario Kart 7,2011.0,Nintendo,Japan,Kyoto,"Retro Studios, Entertainment Analysis & Development Division",3DS,Racing,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,E
41,Call of Duty: Black Ops,2010.0,Activision,United States,Santa Monica,Treyarch,PS3,Shooter,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,M
42,Grand Theft Auto V,2014.0,Take-Two Interactive,nan,nan,Rockstar North,PS4,Action,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,M
43,Animal Crossing: Wild World,2005.0,Nintendo,Japan,Kyoto,Nintendo,DS,Simulation,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,E
44,Halo 3,2007.0,Microsoft Game Studios,nan,nan,"Bungie Software, Bungie",X360,Shooter,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,M
45,Super Mario 64,1996.0,Nintendo,Japan,Kyoto,,N64,Platform,6.91,2.85,1.91,0.23,11.89,,,,,
46,Pokemon HeartGold/Pokemon SoulSilver,2009.0,Nintendo,Japan,Kyoto,,DS,Action,4.34,2.71,3.96,0.76,11.77,,,,,
47,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014.0,Nintendo,Japan,Kyoto,,3DS,Role-Playing,4.35,3.49,3.1,0.74,11.68,,,,,
48,Gran Turismo 4,2004.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",Polyphony Digital,PS2,Racing,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,E
49,Super Mario Galaxy,2007.0,Nintendo,Japan,Kyoto,Nintendo,Wii,Platform,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,E
50,Super Mario Land 2: 6 Golden Coins,1992.0,Nintendo,Japan,Kyoto,,GB,Adventure,6.16,2.04,2.69,0.29,11.18,,,,,
51,Grand Theft Auto IV,2008.0,Take-Two Interactive,nan,nan,Rockstar North,X360,Action,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,M
52,Gran Turismo,1997.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",Polyphony Digital,PS,Racing,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,E
53,Super Mario 3D Land,2011.0,Nintendo,Japan,Kyoto,Nintendo,3DS,Platform,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,E
54,Gran Turismo 5,2010.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",Polyphony Digital,PS3,Racing,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,E
55,Call of Duty: Modern Warfare 2,2009.0,Activision,United States,Santa Monica,Infinity Ward,PS3,Shooter,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,M
56,Super Mario All-Stars,1993.0,Nintendo,Japan,Kyoto,,SNES,Platform,5.99,2.15,2.12,0.29,10.55,,,,,
57,Grand Theft Auto IV,2008.0,Take-Two Interactive,nan,nan,Rockstar North,PS3,Action,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,M
58,Pokemon FireRed/Pokemon LeafGreen,2004.0,Nintendo,Japan,Kyoto,,GBA,Role-Playing,4.34,2.65,3.15,0.35,10.49,,,,,
59,Super Mario 64,2004.0,Nintendo,Japan,Kyoto,,DS,Platform,5.01,3.07,1.25,0.97,10.3,,,,,
60,Call of Duty: Ghosts,2013.0,Activision,United States,Santa Monica,Infinity Ward,X360,Shooter,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,M
61,Just Dance 3,2011.0,Ubisoft,Europe,Montreuil-sous-Bois,Ubisoft,Wii,Misc,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,E10+
62,New Super Mario Bros. 2,2012.0,Nintendo,Japan,Kyoto,Nintendo,3DS,Platform,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,E
63,Mario Kart 64,1996.0,Nintendo,Japan,Kyoto,,N64,Racing,5.55,1.94,2.23,0.15,9.87,,,,,
64,Halo: Reach,2010.0,Microsoft Game Studios,nan,nan,Bungie,X360,Shooter,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,M
65,Final Fantasy VII,1997.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",SquareSoft,PS,Role-Playing,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,T
66,Halo 4,2012.0,Microsoft Game Studios,nan,nan,343 Industries,X360,Shooter,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,M
67,Gran Turismo 2,1999.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",Polyphony Digital,PS,Racing,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,T
68,Just Dance 2,2010.0,Ubisoft,Europe,Montreuil-sous-Bois,Ubisoft,Wii,Misc,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,E10+
69,Call of Duty: Ghosts,2013.0,Activision,United States,Santa Monica,Infinity Ward,PS3,Shooter,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,M
70,Call of Duty 4: Modern Warfare,2007.0,Activision,United States,Santa Monica,Infinity Ward,X360,Shooter,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,M
71,Donkey Kong Country,1994.0,Nintendo,Japan,Kyoto,,SNES,Platform,4.36,1.71,3.0,0.23,9.3,,,,,
72,Minecraft,2013.0,Microsoft Game Studios,nan,nan,,X360,Misc,5.7,2.65,0.02,0.81,9.18,,,,,
73,Animal Crossing: New Leaf,2012.0,Nintendo,Japan,Kyoto,Nintendo,3DS,Simulation,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,E
74,Mario Party DS,2007.0,Nintendo,Japan,Kyoto,Hudson Soft,DS,Misc,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,E
75,The Elder Scrolls V: Skyrim,2011.0,Bethesda Softworks,United States,Rockville,Bethesda Game Studios,X360,Role-Playing,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,M
76,Super Mario Kart,1992.0,Nintendo,Japan,Kyoto,,SNES,Racing,3.54,1.24,3.81,0.18,8.76,,,,,
77,FIFA 16,2015.0,Electronic Arts,United States,Redwood City,EA Sports,PS4,Sports,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,E
78,Halo 2,2004.0,Microsoft Game Studios,nan,nan,Bungie Software,XB,Shooter,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,M
79,Wii Party,2010.0,Nintendo,Japan,Kyoto,Nd Cube,Wii,Misc,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,E
80,Mario Party 8,2007.0,Nintendo,Japan,Kyoto,Hudson,Wii,Misc,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,E
81,FIFA Soccer 13,2012.0,Electronic Arts,United States,Redwood City,Electronic Arts,PS3,Action,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,E
82,GoldenEye 007,1997.0,Nintendo,Japan,Kyoto,,N64,Shooter,5.8,2.01,0.13,0.15,8.09,,,,,
83,Pokemon Black 2/Pokemon White 2,2012.0,Nintendo,Japan,Kyoto,,DS,Role-Playing,2.79,1.72,3.14,0.41,8.07,,,,,
84,Final Fantasy X,2001.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",SquareSoft,PS2,Role-Playing,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,T
85,The Sims 3,2009.0,Electronic Arts,United States,Redwood City,The Sims Studio,PC,Simulation,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,T
86,Mario & Sonic at the Olympic Games,2007.0,Sega,United States,"Ota, Tokyo,San Francisco",,Wii,Sports,2.57,3.86,0.66,0.91,7.99,,,,,
87,Star Wars Battlefront (2015),2015.0,Electronic Arts,United States,Redwood City,,PS4,Shooter,2.99,3.49,0.22,1.28,7.98,,,,,
88,Final Fantasy VIII,1999.0,SquareSoft,nan,nan,SquareSoft,PS,Role-Playing,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,T
89,Pac-Man,1982.0,Atari,United States,Pawtucket,,2600,Puzzle,7.28,0.45,0.0,0.08,7.81,,,,,
90,Pokémon Platinum Version,2008.0,Nintendo,Japan,Kyoto,Game Freak,DS,Role-Playing,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,E
91,Grand Theft Auto: Liberty City Stories,2005.0,Take-Two Interactive,nan,nan,Rockstar Leeds,PSP,Action,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,M
92,Call of Duty: Advanced Warfare,2014.0,Activision,United States,Santa Monica,Sledgehammer Games,PS4,Shooter,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,M
93,The Legend of Zelda: Ocarina of Time,1998.0,Nintendo,Japan,Kyoto,,N64,Action,4.1,1.89,1.45,0.16,7.6,,,,,
94,FIFA 17,2016.0,Electronic Arts,United States,Redwood City,"EA Sports, EA Vancouver",PS4,Sports,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,E
95,Crash Bandicoot 2: Cortex Strikes Back,1997.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",,PS,Platform,3.78,2.17,1.31,0.31,7.58,,,,,
96,Super Smash Bros. for Wii U and 3DS,2014.0,Nintendo,Japan,Kyoto,,3DS,Fighting,3.27,1.37,2.43,0.48,7.55,,,,,
97,Super Mario Galaxy 2,2010.0,Nintendo,Japan,Kyoto,Nintendo EAD Tokyo,Wii,Platform,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,E
98,Super Mario Bros. 2,1988.0,Nintendo,Japan,Kyoto,,NES,Platform,5.39,1.18,0.7,0.19,7.46,,,,,
99,Call of Duty: Black Ops 3,2015.0,Activision,United States,Santa Monica,,XOne,Shooter,4.59,2.11,0.01,0.68,7.39,,,,,
100,Call of Duty: World at War,2008.0,Activision,United States,Santa Monica,Treyarch,X360,Shooter,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,M
101,Battlefield 3,2011.0,Electronic Arts,United States,Redwood City,EA DICE,X360,Shooter,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,M
102,Need for Speed Underground,2003.0,Electronic Arts,United States,Redwood City,EA Black Box,PS2,Racing,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,E
103,Just Dance,2009.0,Ubisoft,Europe,Montreuil-sous-Bois,Ubisoft Paris,Wii,Misc,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,E10+
104,Battlefield 3,2011.0,Electronic Arts,United States,Redwood City,EA DICE,PS3,Shooter,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,M
105,Fallout 4,2015.0,Bethesda Softworks,United States,Rockville,Bethesda Game Studios,PS4,Role-Playing,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,M
106,Tekken 3,1998.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",Namco,PS,Fighting,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,T
107,The Legend of Zelda: Twilight Princess,2006.0,Nintendo,Japan,Kyoto,Nintendo,Wii,Action,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,T
108,Pokemon Sun/Moon,2016.0,Nintendo,Japan,Kyoto,,3DS,Role-Playing,2.98,1.45,2.26,0.45,7.14,,,,,
109,Crash Bandicoot 3: Warped,1998.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",Naughty Dog,PS,Platform,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,E
110,Mario Kart 8,2014.0,Nintendo,Japan,Kyoto,Nintendo,WiiU,Racing,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,E
111,Super Smash Bros. Melee,2001.0,Nintendo,Japan,Kyoto,HAL Labs,GC,Fighting,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,T
112,Mario Kart: Double Dash!!,2003.0,Nintendo,Japan,Kyoto,,GC,Racing,4.12,1.77,0.87,0.19,6.95,,,,,
113,Need for Speed Underground 2,2004.0,Electronic Arts,United States,Redwood City,EA Canada,PS2,Racing,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,E
114,Medal of Honor: Frontline,2002.0,Electronic Arts,United States,Redwood City,EA LA,PS2,Shooter,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,T
115,Crash Bandicoot,1996.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",,PS,Platform,3.23,2.35,0.94,0.3,6.82,,,,,
116,Just Dance 4,2012.0,Ubisoft,Europe,Montreuil-sous-Bois,Ubisoft,Wii,Misc,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,E10+
117,Gears of War 2,2008.0,Microsoft Game Studios,nan,nan,Epic Games,X360,Shooter,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,M
118,Uncharted 3: Drake's Deception,2011.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",Naughty Dog,PS3,Action,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,T
119,Zumba Fitness,2010.0,505 Games,nan,nan,"Pipeworks Software, Inc.",Wii,Sports,3.45,2.59,0.0,0.66,6.71,,,,,E
120,Call of Duty 4: Modern Warfare,2007.0,Activision,United States,Santa Monica,Infinity Ward,PS3,Shooter,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,M
121,Uncharted 2: Among Thieves,2009.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",Naughty Dog,PS3,Action,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,T
122,FIFA 12,2011.0,Electronic Arts,United States,Redwood City,,PS3,Sports,0.84,4.3,0.11,1.39,6.65,,,,,
123,Big Brain Academy,2005.0,Nintendo,Japan,Kyoto,Nintendo,DS,Misc,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,E
124,The Legend of Zelda,1986.0,Nintendo,Japan,Kyoto,,NES,Action,3.74,0.93,1.69,0.14,6.51,,,,,
125,Red Dead Redemption,2010.0,Take-Two Interactive,nan,nan,Rockstar San Diego,PS3,Action,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,M
126,FIFA 14,2013.0,Electronic Arts,United States,Redwood City,EA Canada,PS3,Sports,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,E
127,Assassin's Creed III,2012.0,Ubisoft,Europe,Montreuil-sous-Bois,Ubisoft,PS3,Action,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,M
128,Donkey Kong Country Returns,2010.0,Nintendo,Japan,Kyoto,Retro Studios,Wii,Platform,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,E
129,Halo: Combat Evolved,2001.0,Microsoft Game Studios,nan,nan,Bungie Software,XB,Shooter,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,M
130,The Elder Scrolls V: Skyrim,2011.0,Bethesda Softworks,United States,Rockville,Bethesda Game Studios,PS3,Role-Playing,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,M
131,Pokémon Emerald Version,2004.0,Nintendo,Japan,Kyoto,Game Freak,GBA,Role-Playing,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0,E
132,Kingdom Hearts,2002.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",SquareSoft,PS2,Role-Playing,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,E
133,Pokémon Crystal Version,2000.0,Nintendo,Japan,Kyoto,,GB,Role-Playing,2.55,1.56,1.29,0.99,6.39,,,,,
134,Halo 3: ODST,2009.0,Microsoft Game Studios,nan,nan,"Bungie Software, Bungie",X360,Shooter,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,M
135,Red Dead Redemption,2010.0,Take-Two Interactive,nan,nan,Rockstar San Diego,X360,Action,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,M
136,Super Mario Sunshine,2002.0,Nintendo,Japan,Kyoto,Nintendo,GC,Platform,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,E
137,Street Fighter II: The World Warrior,1992.0,Capcom,Japan,Osaka,,SNES,Fighting,2.47,0.83,2.87,0.12,6.3,,,,,
138,World of Warcraft,2004.0,Activision,United States,Santa Monica,Blizzard Entertainment,PC,Role-Playing,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,T
139,Driver,1999.0,GT Interactive,nan,nan,Reflections Interactive,PS,Action,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,T
140,Gears of War 3,2011.0,Microsoft Game Studios,nan,nan,Epic Games,X360,Shooter,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,M
141,Kinect Sports,2010.0,Microsoft Game Studios,nan,nan,Rare Ltd.,X360,Sports,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,E10+
142,Gears of War,2006.0,Microsoft Game Studios,nan,nan,Epic Games,X360,Shooter,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,M
143,FIFA 15,2014.0,Electronic Arts,United States,Redwood City,EA Sports,PS4,Sports,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,E
144,Metal Gear Solid 2: Sons of Liberty,2001.0,Konami Digital Entertainment,nan,nan,KCEJ,PS2,Action,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,M
145,Sonic the Hedgehog 2,1992.0,Sega,United States,"Ota, Tokyo,San Francisco",,GEN,Platform,4.47,1.2,0.16,0.19,6.03,,,,,
146,Metal Gear Solid,1998.0,Konami Digital Entertainment,nan,nan,KCEJ,PS,Action,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,M
147,Metal Gear Solid 4: Guns of the Patriots,2008.0,Konami Digital Entertainment,nan,nan,Kojima Productions,PS3,Action,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,M
148,Final Fantasy XII,2006.0,Square Enix,Japan,"Shinjuku, Tokyo",Square Enix,PS2,Role-Playing,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,T
149,The Last of Us,2013.0,Sony Computer Entertainment Europe,nan,nan,Naughty Dog,PS3,Action,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,M
150,LittleBigPlanet,2008.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)","SCE/WWS, Media Molecule",PS3,Platform,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,E
151,Resident Evil 2,1998.0,Virgin Interactive,nan,nan,Capcom,PS,Action,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,M
152,Dragon Quest IX: Sentinels of the Starry Skies,2009.0,Nintendo,Japan,Kyoto,Level 5,DS,Role-Playing,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,E10+
153,Tekken 2,1996.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",Namco,PS,Fighting,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,T
154,Destiny,2014.0,Activision,United States,Santa Monica,"Bungie Software, Bungie",PS4,Shooter,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,T
155,LEGO Star Wars: The Complete Saga,2007.0,LucasArts,United States,San Francisco,Traveller's Tales,Wii,Action,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,E10+
156,Cooking Mama,2006.0,505 Games,nan,nan,Taito Corporation,DS,Simulation,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,E
157,Tetris,1988.0,Nintendo,Japan,Kyoto,,NES,Puzzle,2.97,0.69,1.81,0.11,5.58,,,,,
158,Super Smash Bros.,1999.0,Nintendo,Japan,Kyoto,,N64,Fighting,2.95,0.6,1.97,0.04,5.55,,,,,
